timestamp,name,symbol,price_usd,high,low,chg_,chg_%,vol_,time
2025-10-14 14:00:00,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 14:00:00,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 14:00:00,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 14:00:00,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 14:00:00,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 14:00:00,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 14:00:00,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 14:00:00,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 14:00:00,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 14:00:00,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 13:30:09,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 13:30:09,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 13:30:09,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 13:30:09,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 13:30:09,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 13:30:09,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 13:30:09,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 13:30:09,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 13:30:09,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 13:30:09,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 13:30:09,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 13:30:09,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 13:30:09,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 13:30:09,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 13:30:09,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 13:30:09,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 13:30:09,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 13:30:09,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 13:30:09,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 13:30:09,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 13:30:09,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 13:30:09,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 13:30:09,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 13:30:09,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 13:30:09,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 13:30:09,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 13:30:09,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 13:30:09,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 13:30:09,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 13:30:09,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 13:30:09,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 13:00:03,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 13:00:03,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 13:00:03,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 13:00:03,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 13:00:03,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 13:00:03,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 13:00:03,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 13:00:03,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 13:00:03,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 13:00:03,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 13:00:03,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 13:00:03,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 13:00:03,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 13:00:03,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 13:00:03,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 13:00:03,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 13:00:03,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 13:00:03,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 13:00:03,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 13:00:03,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 13:00:03,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 13:00:03,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 13:00:03,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 13:00:03,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 13:00:03,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 13:00:03,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 13:00:03,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 13:00:03,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 13:00:03,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 13:00:03,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 13:00:03,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 12:30:01,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 12:30:01,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 12:30:01,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 12:30:01,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 12:30:01,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 12:30:01,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 12:30:01,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 12:30:01,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 12:30:01,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 12:30:01,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 12:30:01,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 12:30:01,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 12:30:01,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 12:30:01,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 12:30:01,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 12:30:01,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 12:30:01,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 12:30:01,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 12:30:01,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 12:30:01,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 12:30:01,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 12:30:01,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 12:30:01,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 12:30:01,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 12:30:01,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 12:30:01,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 12:30:01,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 12:30:01,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 12:30:01,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 12:30:01,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 12:30:01,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 12:00:02,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 12:00:02,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 12:00:02,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 12:00:02,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 12:00:02,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 12:00:02,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 12:00:02,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 12:00:02,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 12:00:02,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 12:00:02,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 12:00:02,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 12:00:02,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 12:00:02,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 12:00:02,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 12:00:02,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 12:00:02,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 12:00:02,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 12:00:02,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 12:00:02,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 12:00:02,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 12:00:02,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 12:00:02,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 12:00:02,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 12:00:02,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 12:00:02,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 12:00:02,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 12:00:02,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 12:00:02,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 12:00:02,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 12:00:02,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 12:00:02,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 11:30:03,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 11:30:03,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 11:30:03,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 11:30:03,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 11:30:03,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 11:30:03,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 11:30:03,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 11:30:03,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 11:30:03,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 11:30:03,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 11:30:03,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 11:30:03,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 11:30:03,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 11:30:03,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 11:30:03,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 11:30:03,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 11:30:03,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 11:30:03,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 11:30:03,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 11:30:03,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 11:30:03,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 11:30:03,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 11:30:03,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 11:30:03,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 11:30:03,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 11:30:03,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 11:30:03,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 11:30:03,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 11:30:03,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 11:30:03,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 11:30:03,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 11:00:03,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 11:00:03,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 11:00:03,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 11:00:03,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 11:00:03,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 11:00:03,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 11:00:03,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 11:00:03,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 11:00:03,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 11:00:03,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 11:00:03,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 11:00:03,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 11:00:03,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 11:00:03,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 11:00:03,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 11:00:03,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 11:00:03,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 11:00:03,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 11:00:03,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 11:00:03,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 11:00:03,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 11:00:03,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 11:00:03,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 11:00:03,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 11:00:03,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 11:00:03,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 11:00:03,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 11:00:03,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 11:00:03,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 11:00:03,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 11:00:03,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 10:30:05,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 10:30:05,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 10:30:05,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 10:30:05,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 10:30:05,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 10:30:05,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 10:30:05,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 10:30:05,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 10:30:05,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 10:30:05,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 10:30:05,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 10:30:05,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 10:30:05,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 10:30:05,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 10:30:05,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 10:30:05,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 10:30:05,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 10:30:05,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 10:30:05,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 10:30:05,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 10:30:05,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 10:30:05,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 10:30:05,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 10:30:05,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 10:30:05,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 10:30:05,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 10:30:05,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 10:30:05,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 10:30:05,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 10:30:05,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 10:30:05,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 10:00:03,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 10:00:03,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 10:00:03,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 10:00:03,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 10:00:03,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 10:00:03,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 10:00:03,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 10:00:03,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 10:00:03,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 10:00:03,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 10:00:03,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 10:00:03,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 10:00:03,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 10:00:03,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 10:00:03,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 10:00:03,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 10:00:03,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 10:00:03,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 10:00:03,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 10:00:03,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 10:00:03,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 10:00:03,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 10:00:03,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 10:00:03,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 10:00:03,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 10:00:03,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 10:00:03,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 10:00:03,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 10:00:03,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 10:00:03,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 10:00:03,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 09:30:02,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 09:30:02,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 09:30:02,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 09:30:02,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 09:30:02,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 09:30:02,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 09:30:02,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 09:30:02,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 09:30:02,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 09:30:02,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
